,abs_pointbiserial,mutual_info,rf_importance,et_importance,gb_importance,perm_importance,shap_importance,abs_pointbiserial_rank,mutual_info_rank,rf_importance_rank,et_importance_rank,gb_importance_rank,perm_importance_rank,shap_importance_rank,avg_rank
is_exact_dup,0.39864586056220536,0.057185330347223395,0.0842214374881678,0.08585060141900878,0.0830155429794372,0.034351054351054386,0.23804183670744855,6.5,21.0,1.0,2.0,5.0,1.0,7.0,6.214285714285714
absdiff_Sensor_S1_Sensor_S2,0.5728682378922524,0.15525546323653905,0.08034798857332996,0.06362906375444491,0.43387699999185536,0.0,0.7440103780469969,1.0,4.0,2.0,4.0,1.0,42.0,1.0,7.857142857142857
abs_residual_Sensor_S2,0.553396019756353,0.13113921596141265,0.05341193129919039,0.09090709907754936,0.0024505982664044554,0.0,0.2715443998013653,2.0,10.0,6.0,1.0,12.0,42.0,4.0,11.0
sensor_mad,0.48717357890849494,0.1404120584959141,0.07189760864092981,0.0399790718734875,0.008251125749112909,0.0,0.18254613631708408,4.0,8.0,3.0,7.0,9.0,42.0,8.0,11.571428571428571
abs_residual_Sensor_S1,0.5004365575961754,0.13000746821446518,0.057410798041533734,0.049776043915224326,0.0402085223845865,0.0,0.081778007866096,3.0,11.0,5.0,5.0,6.0,42.0,9.0,11.571428571428571
abs_residual_Sensor_S3,0.4317403473901021,0.08058402117383001,0.03144402336301665,0.041135428446246236,0.17004289468368744,0.0,0.2562436766707983,5.0,18.0,10.0,6.0,2.0,42.0,5.0,12.571428571428571
dup_group_size,0.39864586056220536,0.04397251530677937,0.06921983372283462,0.07622182738729272,0.09941633591387378,0.0,0.24775563064816372,6.5,24.0,4.0,3.0,4.0,42.0,6.0,12.785714285714286
ratio_Sensor_S1_Sensor_S3,0.16720866584735306,0.1881830620601712,0.03636111416385155,0.024855765502152675,0.011819051130225782,0.0,0.28764436546995753,18.0,1.0,9.0,14.0,7.0,42.0,2.0,13.285714285714286
miss_pattern_code,0.24678572218740719,0.03808618943873654,0.03830134143647515,0.037438975704250727,0.12650785616543928,0.0,0.2749583591083526,12.0,27.0,8.0,8.0,3.0,42.0,3.0,14.714285714285714
Sensor_S1_dev_from_median,0.26320555439046744,0.1638014146622686,0.039807081148217766,0.02874914653726781,6.423199439311149e-05,0.0,0.044515088375220266,10.0,3.0,7.0,12.0,23.0,42.0,11.0,15.428571428571429
absdiff_Sensor_S1_Sensor_S3,0.35321691236386515,0.11408304469333141,0.01983750943753154,0.026935361455701443,0.0017704632951920751,0.0,0.0560524476766337,8.0,14.0,16.0,13.0,13.0,42.0,10.0,16.571428571428573
isolation_score,0.26071357647015314,0.053595237912911875,0.02390385539633453,0.015060393668200604,0.0001251224265586074,0.0,0.011051416378815834,11.0,22.0,13.0,23.0,21.0,42.0,12.0,20.571428571428573
absdiff_Sensor_S2_Sensor_S3,0.2427372946820022,0.0721054729121684,0.012636588590129236,0.016770448142531934,0.00845140706535689,0.0,0.0026425445343067617,13.0,19.0,23.0,20.0,8.0,42.0,20.0,20.714285714285715
Sensor_S3_dev_from_median,0.2924130132346744,0.1424320602882556,0.030226216839095373,0.02265572949845079,2.551461000538399e-06,0.0,0.0040508750268794325,9.0,7.0,11.0,16.0,42.0,42.0,18.0,20.714285714285715
ratio_Sensor_S2_Sensor_S3,0.16772394190093343,0.12712117596183425,0.012578077613917675,0.013215544874100127,0.0005226188400302796,0.0,0.004848567360428172,17.0,13.0,24.0,25.0,18.0,42.0,15.0,22.0
sensor_min,0.18790726016653472,0.06097531264914369,0.006115126406023191,0.015088408689151352,0.001152868326164227,0.0,0.0048010867655413035,16.0,20.0,27.0,22.0,15.0,42.0,17.0,22.714285714285715
diff_Sensor_S1_Sensor_S3,0.013538341124283197,0.15122740814429103,0.027137845056580467,0.03489181347357913,4.5852762767326105e-06,0.0,0.005730021218225451,69.0,6.0,12.0,9.0,39.0,42.0,13.0,27.142857142857142
Sensor_S2_dev_from_median,0.14599330696324092,0.10222272875432292,0.02258501221360799,0.012994841039962514,1.5128055919234076e-06,0.0,0.00026915134350429345,19.0,16.0,14.0,26.0,45.0,42.0,30.0,27.428571428571427
ratio_Sensor_S1_Sensor_S2,0.06359695727168642,0.1526233503393719,0.016998998200949564,0.012451686887632301,7.987131188645288e-06,0.0,0.000434886088679063,35.0,5.0,19.0,27.0,37.0,42.0,28.0,27.571428571428573
