feature_name,n_missing_train,n_missing_test,mean,std,min,max
Power_VI,0,0,1281.5795,757.175,132.8496,3498.2917
Energy_VIt,0,0,40125.8857,32255.1457,1105.1072,180057.2402
I_squared,0,0,4780.2626,3574.6782,225.2371,12089.5742
I2t,0,0,150808.4549,147163.9063,1815.5819,689197.7793
V_squared,0,0,456.1631,291.3363,64.2274,1022.6117
sqrt_t,0,0,5.4507,1.5111,2.2458,7.7443
log1p_t,0,0,3.3456,0.5981,1.799,4.1105
V_over_I,0,0,0.4159,0.3053,0.0744,1.999
I_over_V,0,0,3.6156,2.2322,0.5002,13.4474
V_I_interact,0,0,1281.5795,757.175,132.8496,3498.2917
V_t_interact,0,0,638.5493,395.411,51.766,1870.7791
I_t_interact,0,0,2005.7979,1400.4332,117.6497,6305.7843
T_I_interact,0,0,2164.1514,1093.4876,270.1422,5500.1242
T_t_interact,0,0,1095.2526,611.3562,104.553,2964.7522
sensor_mean,0,0,23.265,4.5167,9.688,36.6852
sensor_median,0,0,15.6516,4.2933,5.7549,28.6717
sensor_min,0,0,12.7278,4.0436,-0.2015,24.0889
sensor_max,0,0,48.867,13.4023,11.5828,87.7375
sensor_range,0,0,36.1392,14.1717,2.1903,79.6528
sensor_std,0,0,17.3261,6.9658,0.9864,39.4007
sensor_var,0,0,348.6675,252.4261,0.9731,1552.415
sensor_mad,0,0,2.2209,1.3681,0.0629,10.8769
sensor_cv,0,0,0.7409,0.2742,0.0804,1.4194
sensor_trimmed_mean,0,0,15.6516,4.2933,5.7549,28.6717
n_sensors_available,0,0,3.956,0.2052,3.0,4.0
n_sensors_missing,0,0,0.044,0.2052,0.0,1.0
miss_Sensor_S1,0,0,0.006,0.0773,0.0,1.0
miss_Sensor_S2,0,0,0.002,0.0447,0.0,1.0
miss_Sensor_S3,0,0,0.007,0.0834,0.0,1.0
miss_Sensor_S4,0,0,0.029,0.1679,0.0,1.0
neg_Sensor_S1,0,0,0.0,0.0,0.0,0.0
zero_Sensor_S1,0,0,0.001,0.0316,0.0,1.0
neg_Sensor_S2,0,0,0.001,0.0316,0.0,1.0
zero_Sensor_S2,0,0,0.001,0.0316,0.0,1.0
neg_Sensor_S3,0,0,0.0,0.0,0.0,0.0
zero_Sensor_S3,0,0,0.001,0.0316,0.0,1.0
neg_Sensor_S4,0,0,0.0,0.0,0.0,0.0
zero_Sensor_S4,0,0,0.0,0.0,0.0,0.0
diff_Sensor_S1_Sensor_S2,8,4,-0.1584,2.6205,-18.0542,17.6418
absdiff_Sensor_S1_Sensor_S2,8,4,1.5399,2.1257,0.0008,18.0542
ratio_Sensor_S1_Sensor_S2,9,4,1.0742,3.3723,-42.2923,96.3566
diff_Sensor_S1_Sensor_S3,13,3,-3.4615,2.5897,-23.1812,15.1028
absdiff_Sensor_S1_Sensor_S3,13,3,3.7698,2.1154,0.2969,23.1812
ratio_Sensor_S1_Sensor_S3,14,4,0.8463,0.7384,0.0,14.4604
diff_Sensor_S1_Sensor_S4,35,12,-36.274,13.3055,-79.6528,5.956
absdiff_Sensor_S1_Sensor_S4,35,12,36.296,13.2453,0.5959,79.6528
ratio_Sensor_S1_Sensor_S4,35,12,0.2934,0.1371,0.0,1.4064
diff_Sensor_S2_Sensor_S3,9,5,-3.3097,3.2886,-21.7538,14.843
absdiff_Sensor_S2_Sensor_S3,9,5,3.7379,2.7918,0.0041,21.7538
ratio_Sensor_S2_Sensor_S3,10,6,0.8676,0.7635,-0.0179,15.843
diff_Sensor_S2_Sensor_S4,31,14,-36.1031,13.2545,-79.5941,4.9724
absdiff_Sensor_S2_Sensor_S4,31,14,36.1304,13.1799,0.6691,79.5941
ratio_Sensor_S2_Sensor_S4,31,14,0.2969,0.1355,-0.003,1.3393
diff_Sensor_S3_Sensor_S4,36,13,-32.8348,13.8693,-77.0447,11.3145
absdiff_Sensor_S3_Sensor_S4,36,13,32.9148,13.6781,0.1072,77.0447
ratio_Sensor_S3_Sensor_S4,36,13,0.3693,0.1741,0.0,1.772
Sensor_S1_minus_ambient,6,1,-20.6579,8.5531,-46.8784,3.681
Sensor_S2_minus_ambient,2,3,-20.5081,8.3641,-43.8361,6.265
Sensor_S3_minus_ambient,7,2,-17.2372,9.0976,-44.3619,10.4122
Sensor_S4_minus_ambient,29,11,15.6299,14.561,-36.0857,58.8426
Sensor_S1_dev_from_median,6,1,-2.1317,1.6087,-20.526,7.5514
Sensor_S2_dev_from_median,2,3,-1.9841,2.1013,-19.312,7.4023
Sensor_S3_dev_from_median,7,2,1.3112,1.7208,-14.1517,8.9759
Sensor_S4_dev_from_median,29,11,34.0768,13.4006,-5.4642,78.3194
max_dev_from_median,0,0,33.2292,14.0882,1.1784,78.3194
n_sensors_outside_consensus,0,0,0.978,0.1468,0.0,1.0
is_exact_dup,0,0,0.024,0.1531,0.0,1.0
dup_group_size,0,0,1.024,0.1531,1.0,2.0
miss_pattern_code,0,0,,,,
residual_Sensor_S1,44,17,0.0312,1.7888,-18.3525,17.4322
abs_residual_Sensor_S1,44,17,0.7114,1.6414,0.0,18.3525
residual_Sensor_S2,44,17,0.0401,1.9673,-16.0842,16.3888
abs_residual_Sensor_S2,44,17,0.8609,1.7692,0.0001,16.3888
residual_Sensor_S3,44,17,-0.046,1.8655,-17.0746,11.8612
abs_residual_Sensor_S3,44,17,0.7371,1.7142,0.0002,17.0746
residual_Sensor_S4,44,17,0.1481,12.7572,-38.6057,37.1947
abs_residual_Sensor_S4,44,17,10.0632,7.8355,0.007,38.6057
isolation_score,44,17,0.046,0.0394,-0.0877,0.115
