,abs_correlation,mutual_info,rf_importance,et_importance,gb_importance,perm_importance,shap_importance,abs_correlation_rank,mutual_info_rank,rf_importance_rank,et_importance_rank,gb_importance_rank,perm_importance_rank,shap_importance_rank,avg_rank
I_squared,0.9155065185905858,1.016371263216,0.4112431856151245,0.44180774752985275,0.4684951892382574,0.2584306091718728,3.4679724257708755,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.2857142857142858
Load_Current_A,0.8664494637142477,1.0106624102428023,0.4613676445541183,0.2666087716712241,0.39243878864193554,0.30646737188845047,3.104214952486237,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.7142857142857142
T_I_interact,0.8636617517040563,0.7812837382808211,0.020982681174785203,0.10840401638435238,0.036652737318183234,0.03623164320422852,1.915768846816904,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.2857142857142856
Sensor_S2,0.7017667871471761,0.8933357884321613,0.033532291049939794,0.010516156222003184,0.027665481110923366,0.03537383538745239,0.5263987647749148,6.0,3.0,3.0,6.0,4.0,4.0,4.0,4.285714285714286
Power_VI,0.8067587195040584,0.775276634147009,0.0035905065387142393,0.0476557017390019,0.008472091990640598,0.0017309507931103306,0.3166459842744562,4.5,6.0,11.0,4.0,7.0,13.0,5.0,7.214285714285714
V_I_interact,0.8067587195040584,0.7753694982721311,0.0039807914866136175,0.0417755052109143,0.004423982744038448,0.0018118743871418097,0.24030097790382332,4.5,5.0,8.0,5.0,9.0,12.0,8.0,7.357142857142857
Sensor_S3,0.4724546675180788,0.495457915770813,0.004082901366463522,0.002227162924970055,0.007549918125789701,0.002655567270473591,0.30688502166980913,14.0,12.0,7.0,21.0,8.0,8.0,6.0,10.857142857142858
sensor_min,0.6075327704355081,0.684054513315981,0.0021048697906286325,0.004959938374451415,0.002167478345039021,0.0012401471456803814,0.04380889647371727,8.0,7.0,15.0,9.0,13.0,15.0,17.0,12.0
sensor_median,0.5739381373972343,0.5525597048641826,0.0016053223814316382,0.004462566956513592,0.0016497153720432727,0.0012101622510025222,0.05831609301119939,10.5,8.0,18.0,11.0,16.0,16.0,14.0,13.357142857142858
Ambient_Temperature_C,0.20624849699519893,0.060351713572480925,0.007302980711312802,0.009581716400924933,0.01070150264428997,0.00712958873745565,0.24389379928830035,25.0,40.0,6.0,7.0,6.0,6.0,7.0,13.857142857142858
