Test_ID,Predicted_Reference_Parameter,Validity_Label
TST-0278,32.89232129960785,Invalid
TST-0006,18.89012427629178,Valid
TST-0047,61.690417952035745,Valid
TST-0311,25.554219473689706,Valid
TST-0264,17.636198862685113,Invalid
TST-0169,21.068594819946988,Valid
TST-0269,18.421994484026015,Valid
TST-0178,13.892946407286953,Invalid
TST-0206,32.64434155095134,Valid
TST-0038,17.428477576169385,Valid
TST-0213,13.971759874140554,Invalid
TST-0309,16.108360219317788,Valid
TST-0059,33.608222580778,Valid
TST-0159,19.784994578987902,Valid
TST-0235,19.392076578484946,Valid
TST-0230,21.93578192773787,Valid
TST-0323,33.60064406316594,Valid
TST-0262,18.579961223249157,Valid
TST-0274,13.854007596805618,Valid
TST-0214,48.579103997550256,Valid
TST-0024,40.462043977151495,Valid
TST-0234,16.857769413565265,Valid
TST-0333,22.916167155691806,Valid
TST-0060,21.03742059938679,Valid
TST-0226,35.87562291801502,Valid
TST-0197,17.262831061556383,Valid
TST-0346,40.31866718356876,Valid
TST-0192,25.919111203131177,Valid
TST-0141,29.01532157153963,Valid
TST-0222,38.317028254747356,Invalid
TST-0232,18.938731138071383,Valid
TST-0085,23.487549665706467,Valid
TST-0237,32.67471546898011,Valid
TST-0001,37.175736549013024,Valid
TST-0069,17.932634417368796,Valid
TST-0272,23.22119564807481,Valid
TST-0343,32.854799329155874,Valid
TST-0320,26.658789074516584,Valid
TST-0008,29.44190971408898,Invalid
TST-0144,24.015943745267876,Valid
TST-0184,22.659749116335274,Valid
TST-0107,58.36013000108578,Valid
TST-0026,41.935637260897785,Valid
TST-0164,41.741052447202065,Valid
TST-0217,34.04852150701526,Valid
TST-0332,31.35428683654003,Invalid
TST-0279,22.4795243174809,Valid
TST-0243,17.971359716559952,Valid
TST-0163,21.582570305162925,Valid
TST-0131,29.608829696231414,Valid
TST-0070,16.260107035372165,Valid
TST-0137,20.26055942270593,Valid
TST-0210,29.739897119776014,Valid
TST-0288,20.26026306721197,Valid
TST-0248,19.367240535434245,Valid
TST-0277,21.294692506017128,Invalid
TST-0215,21.212198115816797,Valid
TST-0138,16.412778857488426,Valid
TST-0228,17.151718152312966,Valid
TST-0252,49.84494555786646,Valid
TST-0205,30.366358523061137,Valid
TST-0348,22.258416527072256,Valid
TST-0177,24.279947583942228,Valid
TST-0267,36.77765633651657,Valid
TST-0308,23.267287181166505,Valid
TST-0087,41.33451529269324,Invalid
TST-0117,15.917967503791523,Valid
TST-0014,19.069994854720946,Valid
TST-0154,23.745181933980003,Valid
TST-0207,47.68057042266475,Valid
TST-0187,21.097350447666262,Valid
TST-0236,21.919234402390384,Valid
TST-0283,40.70786815380383,Invalid
TST-0089,17.596192530977973,Valid
TST-0202,21.793054768901847,Valid
TST-0160,18.385773758795203,Valid
TST-0036,25.48807803078244,Valid
TST-0275,46.58618594716495,Valid
TST-0023,34.42834430033779,Valid
TST-0091,42.42485665711565,Valid
TST-0151,43.71733554284461,Valid
TST-0310,23.536835197815414,Valid
TST-0239,13.931513449201345,Valid
TST-0331,32.01462264333745,Valid
TST-0316,13.262286701693645,Invalid
TST-0338,14.208070396666102,Valid
